url,h1,word_count,ranked_kw,top3_kw,pub_date,author,has_faq,has_table,internal_links,images,h2_count,first_100
/how-many-eyes-do-moles-have/,How Many Eyes Do Moles Have?,416,90,46,2024-10-24T23:43:22+00:00,Spencer Hill,True,False,112,2,1,"Share Blog How Many Eyes Do Moles Have? October 24, 2024 Spencer Hill Do Moles Have Eyes? At Got Moles? , we focus solel"
/do-moles-bite/,Do Moles Bite?,628,33,14,2024-12-12T20:51:35+00:00,Spencer Hill,False,False,115,2,3,"Share Blog Do Moles Bite? December 12, 2024 Spencer Hill Do Moles Bite? At Got Moles? , we know that mole infestations c"
/what-do-moles-eat/,What Do Moles Eat?,619,102,7,2024-06-13T17:29:42+00:00,Spencer Hill,False,False,111,2,1,"Share Blog What Do Moles Eat? June 13, 2024 Spencer Hill What Do Moles Eat? In our eternal battle with Washington&#8217;"
/do-moles-carry-diseases/,Do Moles Carry Diseases?,638,25,4,2024-07-16T21:30:18+00:00,Spencer Hill,False,False,112,2,1,"Share Blog Do Moles Carry Diseases? July 16, 2024 Spencer Hill Do Moles Carry Diseases? Moles are solitary creatures tha"
/are-moles-nocturnal/,Are Moles Nocturnal?,1156,17,4,2025-02-01T00:00:00+00:00,Spencer Hill,True,False,112,2,3,"Share Blog Are Moles Nocturnal? February 1, 2025 Spencer Hill Are Moles Nocturnal? Moles are fascinating creatures known"
/what-species-of-moles-live-in-washington-state/,What Species of Moles Live in Washington State?,1586,9,2,2025-07-07T05:02:46+00:00,Spencer Hill,False,False,126,1,8,Share What Species of Moles Live in Washington State? A Guide for Homeowners and Gardeners Moles are a common nuisance f
/voles-vs-moles-whats-the-difference/,Voles VS Moles: What&#8217;s The Difference?,551,80,0,2024-09-14T00:31:23+00:00,Spencer Hill,False,True,112,2,3,"Share Blog Voles VS Moles: What&#8217;s The Difference? September 14, 2024 Spencer Hill Voles VS Moles: What&#8217;s The"
/do-moles-hibernate/,Do Moles Hibernate?,975,35,0,2025-01-01T11:06:00+00:00,Spencer Hill,False,False,112,2,2,"Share Blog Do Moles Hibernate? January 1, 2025 Spencer Hill Do Moles Hibernate? If you&#8217;ve ever noticed that the mo"
/how-to-get-rid-of-ground-moles-with-vinegar/,How to Get Rid of Ground Moles with Vinegar,580,9,0,2024-08-29T21:11:48+00:00,Spencer Hill,False,False,112,2,1,"Share Blog How to Get Rid of Ground Moles with Vinegar August 29, 2024 Spencer Hill How to Get Rid of Ground Moles with "
/what-do-mole-holes-look-like/,What Do Mole Holes Look Like? Identify Them Before They Damage Your Yard,921,3,0,2025-06-02T08:33:54+00:00,Spencer Hill,False,False,115,1,8,"Share You’re sipping coffee on your patio, admiring your yard—and then you see it: a small pile of dirt that wasn’t ther"
/how-to-get-rid-of-moles-in-your-yard/,How To Get Rid of Moles In Your Yard,1164,3,0,2024-02-09T18:16:20+00:00,Spencer Hill,False,False,113,2,6,"Share Blog How To Get Rid of Moles In Your Yard February 9, 2024 Spencer Hill Are pesky moles turning your beautifully l"
/is-a-mole-a-rodent/,Is a Mole a Rodent?,766,1,0,2024-11-22T23:55:18+00:00,Spencer Hill,False,False,111,2,0,"Share Blog Is a Mole a Rodent? November 22, 2024 Spencer Hill Is a Mole a Rodent? Moles are fascinating creatures that o"
/what-attracts-moles-to-your-yard/,What Attracts Moles to Your Yard?,1445,0,0,2025-07-28T10:56:23+00:00,Spencer Hill,True,False,127,1,8,"Share What Attracts Moles to Your Yard in Washington? If you’re wondering what attracts moles to your yard, the answer l"
/can-moles-swim/,Can Moles Swim?,409,0,0,2025-04-30T16:25:38+00:00,Spencer Hill,False,False,117,1,1,"Share Here at Got Moles, we spend our days thinking about moles and mole behavior—what they eat, where they’re digging t"
/how-deep-do-moles-dig/,How Deep Do Moles Dig?,1066,0,0,2025-04-01T00:00:00+00:00,Spencer Hill,False,False,111,2,3,"Share Blog How Deep Do Moles Dig? April 1, 2025 Spencer Hill How Deep Do Moles Dig? Understanding the Burrowing Behavior"
/moles-vs-gopher-mounds/,Moles Vs Gopher Mounds,1250,0,0,2025-03-01T00:00:00+00:00,Spencer Hill,False,False,111,2,3,"Share Blog Moles Vs Gopher Mounds March 1, 2025 Spencer Hill Moles Vs Gopher Mounds: Understanding the Differences As a "
/what-works-for-mole-extermination/,What Works for Mole Extermination?,1560,0,0,2024-01-16T00:50:29+00:00,Spencer Hill,False,False,114,2,5,"Share Blog What Works for Mole Extermination? January 16, 2024 Spencer Hill Moles emerge as a serious enemy in the battl"
/when-are-moles-most-active/,When Are Moles Most Active?,1000,0,0,2025-08-31T16:20:40+00:00,Got Moles?,False,False,114,1,7,"Share If you’ve ever noticed raised ridges zigzagging through your yard or fresh mounds of soil disrupting your lawn, yo"
/why-do-moles-make-molehills/,Why Do Moles Make Molehills?,777,0,0,2025-09-16T09:30:18+00:00,Got Moles?,False,False,115,1,8,"Share Every homeowner has seen it: those fresh piles of soil scattered across a once-smooth lawn. At first glance, they "
/olympia-mole-exterminator/,Olympia Mole Exterminator,895,0,0,2025-10-20T11:44:24+00:00,Got Moles?,False,False,115,2,8,Share Your backyard should be a place of beauty and relaxation—not a battlefield of mole tunnels and ruined soil. When t
/what-eats-moles/,What Eats Moles?,1111,0,0,2025-11-10T19:07:03+00:00,Got Moles?,False,False,114,0,8,"Share In the quiet corners of your yard, beneath the soft soil, an entire world exists — one that often goes unnoticed. "
/are-moles-venomous/,Are Moles Venomous?,846,0,0,2025-12-23T10:24:36+00:00,Got Moles?,False,False,114,0,8,"Share Silent tunnels, hidden lives, and a reputation built on mystery—few animals spark curiosity quite like moles. Home"
/how-many-babies-do-moles-have/,How Many Babies Do Moles Have?,992,0,0,2026-02-01T15:37:06+00:00,Got Moles?,False,False,114,0,8,"Share Moles are often mysterious creatures, quietly tunneling beneath our lawns and gardens, yet they play a surprising "
/do-moles-live-in-groups/,Do Moles Live in Groups?,1165,0,0,2026-02-28T08:08:52+00:00,Got Moles?,False,False,114,0,8,"Share Beneath your lawn, an entire hidden world is constantly in motion, shaping the ground you walk on every day. If yo"
/are-moles-poisonous-or-venomous/,Are Moles Poisonous or Venomous?,873,0,0,2026-03-31T14:28:53+00:00,Got Moles?,False,False,114,2,8,"Share Beneath the quiet surface of your yard, a small and often misunderstood animal is hard at work. Moles are known fo"
